"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Heat Metric","Absolute Threshold"
"37","North Carolina","37005","Alleghany","2016","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37005","Alleghany","2017","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37005","Alleghany","2018","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37005","Alleghany","2019","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37005","Alleghany","2020","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37005","Alleghany","2021","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2008","57","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2009","93","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2010","93","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2011","99","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2012","67","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2013","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2014","56","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2015","72","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2016","77","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2017","45","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2018","73","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2019","77","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2020","43","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37007","Anson","2021","54","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2008","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2009","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2010","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2011","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2012","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2013","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2014","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2015","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2016","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2017","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2018","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2019","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2020","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37009","Ashe","2021","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2008","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2009","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2010","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2011","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2012","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2013","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2014","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2015","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2016","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2017","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2018","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2019","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2020","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37011","Avery","2021","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2008","37","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2009","65","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2010","72","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2011","71","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2012","43","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2013","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2014","41","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2015","35","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2016","35","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2017","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2018","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2019","49","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2020","28","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37013","Beaufort","2021","18","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2008","43","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2009","50","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2010","70","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2011","72","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2012","44","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2013","22","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2014","46","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2015","42","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2016","38","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2017","18","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2018","25","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2019","54","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2020","33","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37015","Bertie","2021","27","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2008","35","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2009","86","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2010","91","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2011","80","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2012","52","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2013","10","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2014","55","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2015","45","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2016","53","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2017","26","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2018","39","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2019","57","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2020","32","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37017","Bladen","2021","33","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2008","8","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2009","42","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2010","29","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2011","39","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2012","23","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2013","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2014","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2015","13","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2016","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2017","1","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2018","4","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2019","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2020","2","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37019","Brunswick","2021","2","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2008","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2009","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2010","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2011","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2012","1","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2013","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2014","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2015","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2016","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2017","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2018","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2019","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2020","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37021","Buncombe","2021","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2008","28","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2009","11","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2010","25","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2011","43","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2012","24","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2013","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2014","2","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2015","28","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2016","22","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2017","6","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2018","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2019","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2020","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37023","Burke","2021","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2008","46","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2009","69","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2010","76","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2011","92","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2012","60","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2013","10","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2014","34","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2015","67","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2016","68","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2017","32","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2018","58","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2019","54","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2020","29","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37025","Cabarrus","2021","37","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2008","25","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2009","6","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2010","18","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2011","37","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2012","21","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2013","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2014","2","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2015","22","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2016","12","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2017","4","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2018","3","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2019","4","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2020","4","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37027","Caldwell","2021","4","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2008","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2009","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2010","30","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2011","29","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2012","23","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2013","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2014","16","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2015","13","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2016","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2017","5","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2018","2","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2019","9","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2020","9","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37029","Camden","2021","3","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2008","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2009","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2010","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2011","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2012","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2013","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2014","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2015","1","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2016","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2017","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2018","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2019","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2020","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37031","Carteret","2021","0","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37033","Caswell","2008","43","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37033","Caswell","2009","24","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37033","Caswell","2010","63","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37033","Caswell","2011","84","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37033","Caswell","2012","59","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37033","Caswell","2013","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"37","North Carolina","37033","Caswell","2014","47","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
